C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
1739	  23950.58	     0	2010MNRAS.408..475H	B              	11.54 	10.88 	     ~
1740	  10787.51	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1741	   5905.99	   100	2007ApJS..172..663S	B              	     ~	17.98 	14.97 
1742	  18939.51	     0	2010MNRAS.408..475H	B              	11.30 	10.64 	     ~
1743	   2592.14	     0	2010MNRAS.408..475H	B              	14.38 	     ~	     ~
1744	  28333.50	     0	2010MNRAS.408..475H	B              	11.95 	11.02 	     ~
1745	  32051.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1746	  18650.47	     0	2010MNRAS.408..475H	B              	     ~	13.296	     ~
1747	   1379.89	   100	2007ApJS..172..663S	B              	17.56 	15.97 	13.58 
1748	  30808.90	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1749	    856.10	   100	2007ApJS..172..663S	B              	     ~	     ~	16.57 
1750	   3202.34	   100	2007ApJS..172..663S	B              	     ~	19.60 	16.00 
1751	  14867.06	   100	2007ApJS..172..663S	B              	     ~	     ~	14.44 
1752	   4783.60	     0	2010MNRAS.408..475H	B              	14.56 	     ~	     ~
1753	  12183.75	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1754	  33683.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1755	   4947.60	   100	2007ApJS..172..663S	B              	     ~	     ~	14.72 
1756	  31650.21	     0	2010MNRAS.408..475H	B              	     ~	11.8  	     ~
1757	  26412.31	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1758	  21299.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1759	   6439.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1760	   1991.77	     0	2010MNRAS.408..475H	B              	13.3  	     ~	     ~
1761	   6532.10	   100	2007ApJS..172..663S	B              	     ~	18.10 	15.20 
1762	  12508.40	   100	2007ApJS..172..663S	B              	     ~	     ~	14.02 
1763	   9165.11	     0	2010MNRAS.408..475H	B              	11.65 	11.60 	     ~
1764	  21042.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1765	  33811.74	     0	2010MNRAS.408..475H	B              	13.43 	11.47 	     ~
1766	  12178.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1767	   4576.39	   100	2007ApJS..172..663S	B              	     ~	17.01 	13.88 
1768	   5734.37	   100	2007ApJS..172..663S	B              	     ~	19.00 	15.70 
1769	  27520.20	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1770	  33997.83	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1771	  28004.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1772	  27126.56	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1773	   8230.68	     0	2010MNRAS.408..475H	B              	12.14 	11.65 	     ~
1774	   4839.14	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1775	  13252.75	   100	2007ApJS..172..663S	B              	     ~	     ~	15.49 
1776	   4065.81	   100	2007ApJS..172..663S	B              	17.84 	16.19 	13.76 
1777	  12130.14	   100	2010MNRAS.408..475H	B              	     ~	     ~	13.19 
1778	  18326.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1779	  17197.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1780	  29974.26	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1781	   4919.71	   100	2007ApJS..172..663S	B              	     ~	16.48 	14.13 
1782	   4093.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1783	   6496.06	     0	2010MNRAS.408..475H	B              	13.3  	     ~	     ~
1784	   7047.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1785	   9877.37	   100	2007ApJS..172..663S	B              	19.0  	     ~	15.10 
1786	  12181.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1787	   5661.73	   100	2007ApJS..172..663S	B              	11.75 	11.01 	     ~
1788	   4834.39	   100	2007ApJS..172..663S	B              	18.43 	16.87 	14.21 
1789	  23052.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1790	  31243.00	     0	2010MNRAS.408..475H	B              	12.90 	11.32 	     ~
1791	   1476.97	   100	2007ApJS..172..663S	B              	     ~	     ~	16.46 
1792	  10105.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1793	  28127.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1794	   3634.88	   100	2007ApJS..172..663S	B              	     ~	16.88 	14.25 
1795	  16488.75	   100	2007ApJS..172..663S	B              	 9.90 	 9.38 	     ~
1796	  18019.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1797	  26166.88	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1798	   1777.68	   100	2010MNRAS.408..475H	B              	     ~	16.00 	13.34 
1799	  24906.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1800	   9079.26	   100	2007ApJS..172..663S	B              	14.40 	18.20 	15.20 
1801	   1797.75	   100	2007ApJS..172..663S	B              	 4.967	 5.048	 5.08 
1802	  10769.20	   100	2007ApJS..172..663S	B              	     ~	     ~	15.40 
1803	  19040.73	     0	2010MNRAS.408..475H	B              	12.00 	11.36 	     ~
1804	  23399.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1805	   3952.82	   100	2007ApJS..172..663S	B              	     ~	     ~	18.80 
1806	  12885.70	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1807	  24568.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1808	  10076.34	   100	2007ApJS..172..663S	B              	     ~	     ~	14.92 
1809	  15028.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1810	  21585.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1811	    638.24	   100	2007ApJS..172..663S	B              	     ~	18.40 	14.70 
1812	  16202.60	   100	2007ApJS..172..663S	B              	     ~	     ~	16.36 
1813	  29149.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1814	  13917.18	   100	2007ApJS..172..663S	B              	13.03 	11.93 	     ~
1815	   8935.92	   100	2007ApJS..172..663S	B              	     ~	13.80 	     ~
1816	  24335.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1817	  24800.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1818	  17881.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1819	  13882.64	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1820	   7284.04	     0	2010MNRAS.408..475H	B              	18.31 	     ~	     ~
1821	  11057.99	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1822	   6592.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1823	  20506.41	     0	2010MNRAS.408..475H	B              	12.32 	12.07 	     ~
1824	   9104.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1825	   2212.46	   100	2007ApJS..172..663S	B              	12.13 	11.35 	     ~
1826	  18518.45	     0	2010MNRAS.408..475H	B              	11.63 	10.55 	     ~
1827	  26559.88	     0	2010MNRAS.408..475H	B              	12.72 	11.40 	     ~
1828	  17096.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1829	  14114.90	   100	2007ApJS..172..663S	B              	     ~	     ~	12.79 
1830	   7998.98	     0	2010MNRAS.408..475H	B              	12.14 	11.00 	     ~
1831	   8968.29	     0	2010MNRAS.408..475H	B              	11.82 	11.17 	     ~
1832	  25908.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1833	  19425.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1834	   6843.03	   100	2007ApJS..172..663S	B              	18.50 	16.83 	14.15 
1835	  12974.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1836	  12394.46	   100	2007ApJS..172..663S	B              	     ~	     ~	14.40 
1837	  10458.87	     0	2010MNRAS.408..475H	B              	12.90 	12.20 	     ~
1838	   3558.93	   100	2007ApJS..172..663S	B              	15.6  	     ~	15.56 
1839	   5819.90	   100	2007ApJS..172..663S	B              	     ~	17.11 	14.46 
1840	   4838.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1841	   9097.30	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1842	   6782.68	     0	2010MNRAS.408..475H	B              	12.10 	11.80 	     ~
1843	  34389.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1844	   4311.88	   100	2007ApJS..172..663S	B              	 8.41 	 8.20 	 7.83 
1845	   2137.35	   100	2007ApJS..172..663S	B              	10.6  	 9.9  	 9.05 
1846	  21235.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1847	   4759.25	   100	2007ApJS..172..663S	B              	15.8  	17.7  	14.84 
1848	   5080.98	   100	2007ApJS..172..663S	B              	10.34 	 9.76 	     ~
1849	   6162.24	   100	2007ApJS..172..663S	B              	     ~	     ~	19.571
1850	  13746.20	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1851	  29386.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1852	   1460.33	   100	2007ApJS..172..663S	B              	13.45 	12.41 	11.43 
1853	   7705.44	   100	2007ApJS..172..663S	B              	     ~	     ~	15.64 
1854	  34471.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1855	   8806.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1856	  14274.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1857	  16252.19	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1858	  33071.42	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1859	  32246.89	     0	2010MNRAS.408..475H	B              	14.8  	14.73 	11.1  
1860	   5110.43	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1861	   6858.74	   100	2007ApJS..172..663S	B              	     ~	     ~	16.42 
1862	  27323.52	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1863	    994.55	     0	2010MNRAS.408..475H	B              	14.900	14.4  	     ~
1864	  14567.98	   100	2007ApJS..172..663S	B              	     ~	15.491	13.50 
1865	    959.53	   100	2007ApJS..172..663S	B              	     ~	     ~	19.07 
1866	   2702.98	     0	2010MNRAS.408..475H	B              	14.49 	13.26 	     ~
1867	   3638.01	     0	2010MNRAS.408..475H	B              	10.83 	10.50 	     ~
1868	   3465.83	     0	2010MNRAS.408..475H	B              	10.08 	 9.68 	     ~
1869	  11652.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1870	   9041.80	   100	2007ApJS..172..663S	B              	     ~	     ~	18.33 
1871	  11645.30	   100	2007ApJS..172..663S	B              	     ~	     ~	12.78 
1872	  16544.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1873	  30123.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1874	   9818.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1875	   1913.32	     0	2010MNRAS.408..475H	B              	13.900	13.25 	     ~
1876	   3803.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1877	   6218.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1878	  21081.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1879	    928.80	   100	2007ApJS..172..663S	B              	     ~	     ~	15.91 
1880	  15286.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1881	   8714.41	   100	2007ApJS..172..663S	B              	     ~	     ~	15.15 
1882	  14593.99	   100	2007ApJS..172..663S	B              	     ~	     ~	14.45 
1883	   6427.11	   100	2007ApJS..172..663S	B              	16.6  	18.02 	15.08 
1884	  19055.18	     0	2010MNRAS.408..475H	B              	10.64 	10.40 	     ~
1885	  24250.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1886	   1228.81	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
1887	  12271.38	   100	2010MNRAS.408..475H	B              	     ~	     ~	12.04 
1888	   3536.19	   100	2010MNRAS.408..475H	B              	19.9  	17.87 	14.45 
1889	   5230.87	   100	2007ApJS..172..663S	B              	     ~	     ~	15.81 
1890	   6126.27	   100	2007ApJS..172..663S	B              	     ~	16.01 	13.73 
1891	  15162.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1892	    957.36	   100	2007ApJS..172..663S	B              	     ~	     ~	18.67 
1893	  16426.16	   100	2007ApJS..172..663S	B              	     ~	     ~	15.69 
1894	   7615.91	     0	2010MNRAS.408..475H	B              	12.58 	12.26 	     ~
1895	  29612.20	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1896	    621.30	   100	2010MNRAS.408..475H	B              	13.9  	16.27 	13.53 
1897	   7653.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1898	  22377.42	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1899	  26695.08	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1900	   9458.29	     0	2010MNRAS.408..475H	B              	12.28 	12.20 	     ~
1901	   4415.83	   100	2007ApJS..172..663S	B              	16.94 	15.39 	13.23 
1902	   2094.36	   100	2007ApJS..172..663S	B              	13.95 	12.80 	11.62 
1903	  12972.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1904	  12912.52	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1905	   4003.21	   100	2007ApJS..172..663S	B              	     ~	     ~	16.10 
1906	   5757.11	   100	2007ApJS..172..663S	B              	     ~	     ~	16.18 
1907	  23996.71	     0	2010MNRAS.408..475H	B              	12.60 	11.20 	     ~
1908	   5384.96	   100	2007ApJS..172..663S	B              	     ~	     ~	15.76 
1909	  11494.23	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1910	   5538.92	     0	2010MNRAS.408..475H	B              	15.87 	     ~	     ~
1911	  16119.97	     0	2010MNRAS.408..475H	B              	12.62 	11.38 	     ~
1912	  12606.20	   100	2007ApJS..172..663S	B              	     ~	     ~	13.02 
1913	   5009.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1914	  16155.01	   100	2007ApJS..172..663S	B              	     ~	     ~	14.92 
1915	  30403.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1916	  33343.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1917	    466.42	   100	2007ApJS..172..663S	B              	     ~	19.00 	15.40 
1918	  15006.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1919	   2556.21	   100	2007ApJS..172..663S	B              	 7.61 	 7.54 	 7.48 
1920	   2567.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1921	  13873.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1922	   5985.97	   100	2007ApJS..172..663S	B              	     ~	17.11 	14.47 
1923	  10740.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1924	  20899.36	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1925	   1180.53	   100	2007ApJS..172..663S	B              	     ~	19.10 	15.20 
1926	  25155.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1927	   5752.03	   100	2007ApJS..172..663S	B              	16.77 	15.30 	13.00 
1928	  10866.72	   100	2007ApJS..172..663S	B              	     ~	     ~	16.04 
1929	  21973.09	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1930	  10199.53	   100	2007ApJS..172..663S	B              	17.6  	     ~	13.33 
1931	  14599.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1932	   2166.96	   100	2007ApJS..172..663S	B              	 9.34 	 8.99 	 8.49 
1933	  18680.28	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1934	  33435.85	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1935	   8959.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1936	  31808.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1937	   8725.15	   100	2007ApJS..172..663S	B              	     ~	15.80 	13.30 
1938	  13846.79	     0	2010MNRAS.408..475H	B              	11.67 	11.53 	     ~
1939	  21463.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1940	   5404.20	   100	2007ApJS..172..663S	B              	     ~	     ~	17.18 
1941	   6684.81	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1942	  26409.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1943	   9959.43	   100	2007ApJS..172..663S	B              	     ~	     ~	14.55 
1944	   6918.41	   100	2007ApJS..172..663S	B              	     ~	20.46 	16.83 
1945	   7730.59	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1946	  13214.46	     0	2010MNRAS.408..475H	B              	13.30 	12.13 	     ~
1947	  16693.34	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1948	  20605.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1949	  18589.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1950	  19471.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1951	  21435.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1952	  14509.70	     0	2010MNRAS.408..475H	B              	12.13 	11.06 	     ~
1953	    287.11	   100	2001A&A...373..159C	B              	 9.75 	 9.28 	 8.75 
1954	   5495.58	     0	2010MNRAS.408..475H	B              	11.28 	10.52 	     ~
1955	   7929.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1956	  22959.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1957	  17237.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1958	  34300.56	     0	2010MNRAS.408..475H	B              	12.15 	11.80 	     ~
1959	  12040.90	   100	2007ApJS..172..663S	B              	12.91 	11.35 	     ~
1960	   7038.54	   100	2007ApJS..172..663S	B              	     ~	15.10 	13.20 
1961	  17774.36	     0	2010MNRAS.408..475H	B              	     ~	13.8  	     ~
1962	  26925.92	     0	2010MNRAS.408..475H	B              	11.38 	10.44 	     ~
1963	   4059.33	   100	2007ApJS..172..663S	B              	     ~	     ~	18.55 
1964	  15224.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1965	   1542.03	   100	2007ApJS..172..663S	B              	     ~	     ~	14.41 
1966	   4622.49	   100	2010MNRAS.408..475H	B              	16.27 	14.84 	12.87 
1967	    497.41	   100	2007ApJS..172..663S	B              	     ~	21.46 	17.04 
1968	    400.26	   100	2007ApJS..172..663S	B              	 2.806	 2.873	 2.88 
1969	   6446.07	   100	2010MNRAS.408..475H	B              	     ~	15.37 	13.33 
1970	   9654.42	   100	2007ApJS..172..663S	B              	     ~	     ~	14.10 
1971	   1001.85	   100	2007ApJS..172..663S	B              	     ~	18.00 	15.02 
1972	  10927.22	     0	2010MNRAS.408..475H	B              	11.87 	10.82 	     ~
1973	  30048.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1974	   6244.83	   100	2010MNRAS.408..475H	B              	11.56 	10.95 	     ~
1975	   8180.13	     0	2010MNRAS.408..475H	B              	12.41 	12.11 	     ~
1976	    264.80	   100	2007ApJS..172..663S	B              	     ~	19.02 	15.68 
1977	  21578.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1978	   2466.86	   100	2007ApJS..172..663S	B              	     ~	18.71 	15.71 
1979	  19609.81	     0	2010MNRAS.408..475H	B              	11.18 	10.62 	     ~
1980	   7744.83	   100	2007ApJS..172..663S	B              	11.29 	10.58 	     ~
1981	   7105.98	   100	2007ApJS..172..663S	B              	     ~	16.95 	14.21 
1982	  10615.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1983	  32094.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1984	  19504.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1985	   2881.80	   100	2007ApJS..172..663S	B              	     ~	18.00 	15.00 
1986	  15371.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1987	  10537.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1988	    693.70	   100	2007ApJS..172..663S	B              	     ~	16.95 	14.26 
1989	   5633.65	   100	2007ApJS..172..663S	B              	     ~	19.12 	15.67 
1990	  13686.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1991	  20422.03	     0	2010MNRAS.408..475H	B              	     ~	12.753	     ~
1992	  18637.03	     0	2010MNRAS.408..475H	B              	13.05 	11.33 	     ~
1993	  24004.22	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1994	   2460.68	   100	2007ApJS..172..663S	B              	15.78 	14.42 	12.55 
1995	  25525.56	     0	2010MNRAS.408..475H	B              	12.05 	11.86 	     ~
1996	   3666.48	   100	2007ApJS..172..663S	B              	     ~	     ~	14.80 
1997	   5756.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
1998	  16466.76	     0	2010MNRAS.408..475H	B              	16.4  	15.23 	11.9  
1999	  32552.75	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2000	  26847.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2001	  32743.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2002	   4998.12	   100	2007ApJS..172..663S	B              	     ~	     ~	15.20 
2003	   6958.93	   100	2007ApJS..172..663S	B              	14.8  	     ~	12.36 
2004	   4599.34	   100	2007ApJS..172..663S	B              	     ~	     ~	18.45 
2005	  15871.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2006	   1921.09	   100	2007ApJS..172..663S	B              	11.1  	10.6  	 9.85 
2007	   5396.09	   100	2007ApJS..172..663S	B              	     ~	17.99 	14.96 
2008	   6086.04	   100	2007ApJS..172..663S	B              	     ~	15.60 	13.50 
2009	   1808.46	   100	2007ApJS..172..663S	B              	 8.47 	 8.15 	 7.65 
2010	  10419.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2011	  24253.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2012	  11234.85	   100	2007ApJS..172..663S	B              	11.98 	11.47 	     ~
2013	   9170.44	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2014	  32643.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2015	   3161.60	   100	2007ApJS..172..663S	B              	10.48 	 9.97 	 9.27 
2016	   6190.31	   100	2010MNRAS.408..475H	B              	18.51 	16.87 	14.22 
2017	   5163.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2018	  21083.41	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2019	   5590.02	   100	2007ApJS..172..663S	B              	15.20 	15.72 	13.82 
2020	   5730.56	   100	2007ApJS..172..663S	B              	     ~	     ~	16.99 
2021	  27049.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2022	   7286.97	   100	2007ApJS..172..663S	B              	15.8  	15.90 	13.89 
2023	  32925.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2024	   5202.31	     0	2010MNRAS.408..475H	B              	15.000	     ~	     ~
2025	  16099.61	   100	2007ApJS..172..663S	B              	     ~	     ~	14.67 
2026	   4124.31	   100	2010MNRAS.408..475H	B              	15.0  	     ~	13.51 
2027	  34625.19	     0	2010MNRAS.408..475H	B              	11.71 	11.493	     ~
2028	   7714.92	   100	2007ApJS..172..663S	B              	     ~	     ~	18.12 
2029	  28899.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2030	   3928.82	   100	2007ApJS..172..663S	B              	 9.24 	 8.84 	 8.40 
2031	  17473.43	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2032	   5230.72	   100	2007ApJS..172..663S	B              	14.60 	13.29 	11.67 
2033	  20647.91	     0	2010MNRAS.408..475H	B              	12.87 	12.15 	     ~
2034	  13303.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2035	  14035.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2036	  28104.71	     0	2010MNRAS.408..475H	B              	11.31 	10.97 	     ~
2037	   8692.31	     0	2010MNRAS.408..475H	B              	12.19 	11.38 	     ~
2038	  32078.18	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2039	  18775.33	     0	2010MNRAS.408..475H	B              	10.23 	 9.69 	     ~
2040	   9524.79	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2041	  11682.56	     0	2010MNRAS.408..475H	B              	11.66 	11.41 	     ~
2042	  33051.37	     0	2010MNRAS.408..475H	B              	     ~	12.841	     ~
2043	   9104.18	   100	2007ApJS..172..663S	B              	     ~	     ~	15.80 
2044	   2953.07	   100	2007ApJS..172..663S	B              	16.81 	15.28 	13.14 
2045	   1422.26	   100	2010MNRAS.408..475H	B              	18.00 	16.00 	13.63 
2046	  26274.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2047	   1908.10	   100	2007ApJS..172..663S	B              	     ~	18.10 	14.40 
2048	   3801.26	   100	2007ApJS..172..663S	B              	15.69 	14.32 	12.65 
2049	   9922.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2050	  13030.37	   100	2007ApJS..172..663S	B              	11.82 	11.10 	     ~
2051	   3551.37	   100	2007ApJS..172..663S	B              	17.70 	16.11 	13.61 
2052	  12728.03	     0	2010MNRAS.408..475H	B              	     ~	11.8  	     ~
2053	  19506.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2054	  34987.28	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2055	   7809.11	   100	2007ApJS..172..663S	B              	13.06 	12.12 	     ~
2056	   1463.80	   100	2007ApJS..172..663S	B              	     ~	18.00 	15.18 
2057	   2126.77	   100	2007ApJS..172..663S	B              	     ~	     ~	16.38 
2058	   6091.39	   100	2007ApJS..172..663S	B              	     ~	16.70 	14.16 
2059	   5283.96	   100	2010MNRAS.408..475H	B              	10.21 	 9.76 	 8.8  
2060	  24376.24	     0	2010MNRAS.408..475H	B              	16.5  	14.96 	11.1  
2061	   2301.86	     0	2010MNRAS.408..475H	B              	13.99 	     ~	     ~
2062	  13749.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2063	  27701.51	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2064	  14130.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2065	  12934.84	   100	2007ApJS..172..663S	B              	     ~	     ~	14.28 
2066	   5193.72	     0	2010MNRAS.408..475H	B              	12.32 	11.75 	     ~
2067	  12163.79	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2068	  11032.98	   100	2007ApJS..172..663S	B              	     ~	     ~	14.98 
2069	   3621.76	   100	2007ApJS..172..663S	B              	14.74 	13.53 	12.08 
2070	   3539.61	   100	2007ApJS..172..663S	B              	     ~	     ~	15.71 
2071	   1173.20	   100	2007ApJS..172..663S	B              	16.04 	14.71 	12.83 
2072	   1341.52	   100	2007ApJS..172..663S	B              	16.0  	19.67 	16.12 
2073	  25076.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2074	   4028.43	   100	2007ApJS..172..663S	B              	     ~	17.52 	14.94 
2075	   6319.05	     0	2010MNRAS.408..475H	B              	11.23 	10.78 	     ~
2076	  13691.72	     0	2010MNRAS.408..475H	B              	10.05 	 9.75 	     ~
2077	   7996.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2078	   7800.48	   100	2007ApJS..172..663S	B              	     ~	     ~	16.67 
