C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
140 	  18614.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
141 	   2858.32	   100	2007ApJS..172..663S	B              	14.85 	13.62 	12.26 
142 	  11151.01	     0	2010MNRAS.408..475H	B              	11.69 	11.59 	     ~
143 	   3921.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
144 	   5234.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
145 	  20501.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
146 	  14781.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
147 	   5372.84	   100	2010MNRAS.408..475H	B              	     ~	16.70 	13.90 
148 	   1558.85	   100	2010MNRAS.408..475H	B              	16.48 	15.30 	12.86 
149 	  30563.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
150 	    423.64	   100	2007ApJS..172..663S	B              	     ~	16.1  	13.79 
151 	  16628.50	   100	2007ApJS..172..663S	B              	     ~	     ~	15.88 
152 	  26501.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
153 	   3610.03	   100	2007ApJS..172..663S	B              	     ~	     ~	15.87 
154 	   6798.08	   100	2007ApJS..172..663S	B              	     ~	     ~	16.17 
155 	   2420.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
156 	  21811.88	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
157 	  16888.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
158 	  20160.62	     0	2010MNRAS.408..475H	B              	11.99 	11.02 	     ~
159 	   7683.33	   100	2007ApJS..172..663S	B              	     ~	19.80 	16.00 
160 	  35584.93	     0	2010MNRAS.408..475H	B              	10.36 	10.01 	     ~
161 	   5391.50	   100	2007ApJS..172..663S	B              	13.87 	12.72 	11.38 
162 	  16495.46	     0	2010MNRAS.408..475H	B              	12.83 	11.62 	     ~
163 	   4968.31	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
164 	   9966.85	     0	2010MNRAS.408..475H	B              	 9.99 	 9.50 	     ~
165 	  15900.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
166 	  16246.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
167 	  33214.42	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
168 	    770.51	   100	2007ApJS..172..663S	B              	14.85 	13.58 	12.11 
169 	   1696.86	   100	2007ApJS..172..663S	B              	     ~	18.90 	15.70 
170 	   4137.77	   100	2010MNRAS.408..475H	B              	13.90 	14.76 	12.75 
171 	  14613.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
172 	   7765.47	   100	2007ApJS..172..663S	B              	     ~	15.03 	13.00 
173 	  18443.50	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
174 	   2394.51	   100	2007ApJS..172..663S	B              	     ~	19.68 	16.54 
175 	  18957.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
176 	  23578.52	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
177 	   6944.65	   100	2010MNRAS.408..475H	B              	     ~	16.13 	13.69 
178 	   9322.09	     0	2010MNRAS.408..475H	B              	11.96 	11.49 	     ~
179 	    535.11	   100	2007ApJS..172..663S	B              	     ~	     ~	16.02 
180 	  33790.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
181 	  11322.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
182 	  20467.29	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
183 	  35341.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
184 	   4325.54	   100	2007ApJS..172..663S	B              	     ~	     ~	16.59 
185 	   9065.34	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
186 	  22998.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
187 	   3226.86	   100	2007ApJS..172..663S	B              	     ~	18.48 	15.32 
188 	  12500.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
189 	   2131.82	   100	2007ApJS..172..663S	B              	     ~	     ~	15.25 
190 	   4727.13	   100	2010MNRAS.408..475H	B              	14.61 	13.47 	12.12 
191 	   2340.12	   100	2010MNRAS.408..475H	B              	11.4  	10.6  	 9.59 
192 	  33181.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
193 	  22259.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
194 	   1452.47	   100	2007ApJS..172..663S	B              	 6.85 	 6.83 	 6.76 
195 	  20060.05	     0	2010MNRAS.408..475H	B              	12.84 	12.34 	     ~
196 	  15893.54	     0	2010MNRAS.408..475H	B              	11.65 	10.95 	     ~
197 	  16494.64	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
198 	   3960.66	   100	2007ApJS..172..663S	B              	     ~	     ~	15.15 
199 	   8476.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
200 	  13505.90	     0	2010MNRAS.408..475H	B              	13.6  	     ~	     ~
201 	   5665.07	   100	2007ApJS..172..663S	B              	17.87 	16.16 	13.75 
202 	   5713.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
203 	   8398.68	     0	2010MNRAS.408..475H	B              	12.83 	11.31 	     ~
204 	  15308.08	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
205 	  18353.74	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
206 	   6623.71	   100	2007ApJS..172..663S	B              	     ~	18.20 	15.20 
207 	   4550.66	   100	2010MNRAS.408..475H	B              	17.91 	16.35 	13.61 
208 	  28101.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
209 	   8489.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
210 	   3193.77	   100	2007ApJS..172..663S	B              	15.34 	14.00 	12.19 
211 	  16468.97	   100	2007ApJS..172..663S	B              	     ~	     ~	16.62 
212 	   6530.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
213 	   1750.74	   100	2007ApJS..172..663S	B              	15.69 	14.29 	     ~
214 	  13915.60	   100	2007ApJS..172..663S	B              	     ~	     ~	15.79 
215 	   9974.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
216 	  14209.64	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
217 	  10967.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
218 	  13442.31	     0	2010MNRAS.408..475H	B              	10.46 	10.11 	     ~
219 	   9061.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
220 	   7564.49	     0	2010MNRAS.408..475H	B              	15.30 	     ~	     ~
221 	  18697.74	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
222 	  12274.96	     0	2010MNRAS.408..475H	B              	12.81 	11.62 	     ~
223 	   2196.86	   100	2007ApJS..172..663S	B              	14.8  	17.91 	15.27 
224 	  11965.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
225 	   7013.67	   100	2007ApJS..172..663S	B              	     ~	     ~	15.77 
226 	  29057.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
227 	   8941.07	   100	2007ApJS..172..663S	B              	     ~	18.10 	15.30 
228 	   8349.39	   100	2007ApJS..172..663S	B              	16.19 	14.72 	12.55 
229 	  18357.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
230 	   9716.61	   100	2007ApJS..172..663S	B              	12.50 	11.65 	     ~
231 	   1293.09	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
232 	   9202.53	   100	2007ApJS..172..663S	B              	10.68 	10.03 	 9.39 
